Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Ethnic origin population,      Singaporean,,15,,0,,0,,1260,,565,,700,
Ethnic origin population,      Taiwanese,,55,,25,,25,,10060,,4595,,5465,
Ethnic origin population,      Thai,,100,,45,,55,,6865,,2725,,4135,
Ethnic origin population,      Tibetan,,0,,0,,0,,6365,,3175,,3185,
Ethnic origin population,      Vietnamese,,625,,280,,340,,107640,,51350,,56290,
Ethnic origin population,      East and Southeast Asian origins; n.i.e.,126,70,,40,,35,,4375,,2165,,2210,
Ethnic origin population,    Other Asian origins,,100,,40,,60,,13430,,6575,,6855,
Ethnic origin population,      Other Asian origins; n.i.e.,127,100,,40,,60,,13430,,6575,,6855,
Ethnic origin population,  Oceania origins,,405,,175,,230,,20680,,10435,,10240,
Ethnic origin population,    Australian,,245,,100,,145,,13315,,6780,,6530,
Ethnic origin population,    New Zealander,,60,,30,,30,,4250,,2255,,2000,
Ethnic origin population,    Pacific Islands origins,,120,,50,,70,,3490,,1625,,1860,
Ethnic origin population,      Fijian,,55,,15,,35,,1610,,665,,945,
Ethnic origin population,      Hawaiian,,20,,10,,10,,470,,235,,240,
Ethnic origin population,      Maori,,20,,10,,10,,485,,255,,230,
Ethnic origin population,      Polynesian; n.o.s.,128,0,,0,,0,,275,,115,,165,
Ethnic origin population,      Samoan,,10,,0,,0,,225,,140,,85,
Ethnic origin population,      Pacific Islands origins; n.i.e.,129,25,,10,,15,,555,,265,,290,
Household characteristics,Total - Private households by tenure - 25% sample data,130,71375,,,...,,...,5169175,,,...,,...
Household characteristics,  Owner,,54540,,,...,,...,3601825,,,...,,...
Household characteristics,  Renter,,16835,,,...,,...,1559720,,,...,,...
Household characteristics,  Band housing,,0,,,...,,...,7635,,,...,,...
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,131,71370,,,...,,...,5169170,,,...,,...
Household characteristics,  Condominium,,15955,,,...,,...,680495,,,...,,...
Household characteristics,  Not condominium,,55420,,,...,,...,4488680,,,...,,...
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,132,71375,,,...,,...,5169175,,,...,,...
Household characteristics,  No bedrooms,,70,,,...,,...,33950,,,...,,...
Household characteristics,  1 bedroom,,7040,,,...,,...,699980,,,...,,...
Household characteristics,  2 bedrooms,,15435,,,...,,...,1122145,,,...,,...
Household characteristics,  3 bedrooms,,28050,,,...,,...,1876905,,,...,,...
Household characteristics,  4 or more bedrooms,,20770,,,...,,...,1436185,,,...,,...
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,133,71375,,,...,,...,5169170,,,...,,...
Household characteristics,  1 to 4 rooms,,14355,,,...,,...,1369660,,,...,,...
Household characteristics,  5 rooms,,9720,,,...,,...,718020,,,...,,...
Household characteristics,  6 rooms,,10720,,,...,,...,770730,,,...,,...
Household characteristics,  7 rooms,,10690,,,...,,...,713595,,,...,,...
Household characteristics,  8 or more rooms,,25890,,,...,,...,1597165,,,...,,...
Household characteristics,Average number of rooms per dwelling,,6.8,,,...,,...,6.3,,,...,,...
Household characteristics,Total - Private households by number of persons per room - 25% sample data,134,71375,,,...,,...,5169175,,,...,,...
Household characteristics,  One person or fewer per room,,70880,,,...,,...,5046810,,,...,,...
Household characteristics,  More than 1 person per room,,490,,,...,,...,122360,,,...,,...
Household characteristics,Total - Private households by housing suitability - 25% sample data,135,71375,,,...,,...,5169175,,,...,,...
Household characteristics,  Suitable,,69295,,,...,,...,4858170,,,...,,...
Household characteristics,  Not suitable,,2075,,,...,,...,311005,,,...,,...
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,136,71370,,,...,,...,5169175,,,...,,...
Household characteristics,  1960 or before,,10805,,,...,,...,1293135,,,...,,...
Household characteristics,  1961 to 1980,,24530,,,...,,...,1449585,,,...,,...
Household characteristics,  1981 to 1990,,9755,,,...,,...,709135,,,...,,...
Household characteristics,  1991 to 2000,,10020,,,...,,...,622565,,,...,,...
Household characteristics,  2001 to 2005,,6995,,,...,,...,396130,,,...,,...
Household characteristics,  2006 to 2010,,5560,,,...,,...,368235,,,...,,...
Household characteristics,  2011 to 2016,137,3700,,,...,,...,330390,,,...,,...
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,138,71375,,,...,,...,5169175,,,...,,...
Household characteristics,  Only regular maintenance or minor repairs needed,,68240,,,...,,...,4851335,,,...,,...
Household characteristics,  Major repairs needed,,3135,,,...,,...,317840,,,...,,...
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,139,71375,,,...,,...,5169170,,,...,,...
Household characteristics,  1 household maintainer,,39200,,,...,,...,2962065,,,...,,...
Household characteristics,  2 household maintainers,,31045,,,...,,...,2059710,,,...,,...
Household characteristics,  3 or more household maintainers,,1135,,,...,,...,147400,,,...,,...
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,140,71370,,,...,,...,5169175,,,...,,...
Household characteristics,  15 to 24 years,,575,,,...,,...,135835,,,...,,...
Household characteristics,  25 to 34 years,,7550,,,...,,...,681685,,,...,,...
Household characteristics,  35 to 44 years,,12890,,,...,,...,880070,,,...,,...
Household characteristics,  45 to 54 years,,15735,,,...,,...,1113885,,,...,,...
Household characteristics,  55 to 64 years,,13870,,,...,,...,1047185,,,...,,...
Household characteristics,  65 to 74 years,,10995,,,...,,...,738445,,,...,,...
Household characteristics,  75 to 84 years,,7060,,,...,,...,414210,,,...,,...
Household characteristics,  85 years and over,,2700,,,...,,...,157860,,,...,,...
Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,141,71280,,,...,,...,5106290,,,...,,...
Household characteristics,  Spending less than 30% of income on shelter costs,,54485,,,...,,...,3694385,,,...,,...
Household characteristics,  Spending 30% or more of income on shelter costs,,16795,,,...,,...,1411900,,,...,,...
Household characteristics,    30% to less than 100%,,14835,,,...,,...,1208010,,,...,,...
Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,,54490,,,...,,...,3557485,,,...,,...
Household characteristics,  % of owner households with a mortgage,142,61.4,,,...,,...,61,,,...,,...
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,141,17,,,...,,...,19.8,,,...,,...
Household characteristics,  Median monthly shelter costs for owned dwellings ($),143,1512,,,...,,...,1299,,,...,,...
Household characteristics,  Average monthly shelter costs for owned dwellings ($),143,1607,,,...,,...,1463,,,...,,...
Household characteristics,  Median value of dwellings ($),144,589996,,,...,,...,400496,,,...,,...
Household characteristics,  Average value of dwellings ($),144,632556,,,...,,...,506409,,,...,,...
Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,,16830,,,...,,...,1554940,,,...,,...
Household characteristics,  % of tenant households in subsidized housing,145,9.8,,,...,,...,15,,,...,,...
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,141,44.7,,,...,,...,45.7,,,...,,...
Household characteristics,  Median monthly shelter costs for rented dwellings ($),143,1302,,,...,,...,1045,,,...,,...
Household characteristics,  Average monthly shelter costs for rented dwellings ($),143,1329,,,...,,...,1109,,,...,,...
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,146,149495,,71145,,78350,,11038440,,5342755,,5695685,
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,18150,,8990,,9160,,1935355,,961690,,973670,
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,147,38910,,18490,,20420,,3026100,,1485320,,1540770,
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,92430,,43665,,48770,,6076985,,2895745,,3181235,
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,7560,,5240,,2320,,664180,,471055,,193120,
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,148,3380,,1960,,1415,,324370,,199510,,124855,
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,149,4180,,3285,,900,,339810,,271545,,68260,
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,35310,,15165,,20150,,2298715,,981785,,1316930,
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,3470,,1625,,1840,,242005,,107065,,134945,
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,46090,,21630,,24460,,2872085,,1335845,,1536250,
 Highest certificate; diploma or degree,      Bachelor's degree,,31690,,14385,,17300,,1911530,,854135,,1057395,
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,2960,,1320,,1645,,189370,,83670,,105695,
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,1365,,685,,680,,79760,,42295,,37460,
 Highest certificate; diploma or degree,      Master's degree,,8780,,4400,,4380,,593645,,294180,,299470,
 Highest certificate; diploma or degree,      Earned doctorate,150,1290,,835,,460,,97790,,61560,,36230,
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,146,95995,,45710,,50285,,7229120,,3498620,,3730495,
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,4920,,2790,,2130,,752995,,404770,,348225,
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,147,20585,,10380,,10205,,1768955,,895020,,873935,
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,70495,,32540,,37950,,4707165,,2198830,,2508335,
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,4560,,3180,,1385,,446390,,315975,,130420,
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,148,2130,,1250,,885,,218980,,134685,,84295,
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,149,2425,,1925,,500,,227410,,181290,,46120,
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,26470,,11485,,14985,,1782530,,762505,,1020030,
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,2350,,1140,,1210,,170925,,75935,,94995,
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,37115,,16740,,20375,,2307320,,1044420,,1262895,
 Highest certificate; diploma or degree,      Bachelor's degree,,25465,,11245,,14220,,1519850,,668450,,851400,
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,2340,,985,,1350,,148960,,62370,,86590,
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,1110,,520,,585,,63790,,30895,,32895,
 Highest certificate; diploma or degree,      Master's degree,,7275,,3455,,3825,,500415,,239160,,261255,
 Highest certificate; diploma or degree,      Earned doctorate,150,925,,540,,385,,74310,,43545,,30765,
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,151,149495,,71145,,78345,,11038440,,5342755,,5695685,
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,57065,,27485,,29580,,4961455,,2447010,,2514445,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,5995,,1255,,4740,,349745,,79245,,270505,
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,5995,,1260,,4740,,349750,,79245,,270505,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,3630,,1560,,2070,,246075,,109955,,136120,
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,615,,470,,145,,38745,,28735,,10010,
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,3015,,1090,,1920,,207325,,81220,,126110,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,5515,,1950,,3565,,359560,,133350,,226210,
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,475,,65,,405,,37900,,8170,,29730,
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,1615,,430,,1190,,98440,,28290,,70145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,1445,,555,,890,,95345,,32940,,62410,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,25,,10,,10,,2165,,805,,1365,
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,285,,165,,120,,24255,,13425,,10830,
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,370,,200,,170,,28175,,17120,,11055,
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,1020,,490,,530,,57295,,30015,,27280,
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,280,,30,,250,,15990,,2590,,13400,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,13360,,4565,,8800,,810410,,269735,,540670,
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,65,,10,,60,,10765,,2210,,8560,
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,1495,,660,,835,,81500,,31825,,49675,
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,2160,,110,,2050,,141750,,11775,,129975,
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,1705,,560,,1145,,128860,,45275,,83590,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,270,,40,,230,,16210,,3400,,12815,
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,2160,,560,,1605,,122545,,29640,,92905,
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,5500,,2630,,2875,,308775,,145620,,163155,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,22155,,10220,,11940,,1279665,,527085,,752580,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,30,,0,,25,,2725,,895,,1830,
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1270,,250,,1020,,108935,,21405,,87530,
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,20860,,9965,,10895,,1168005,,504780,,663225,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,4300,,2160,,2145,,253905,,124050,,129850,
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,1735,,690,,1050,,110950,,45120,,65835,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,980,,455,,525,,54745,,24800,,29945,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,70,,0,,70,,3830,,1190,,2640,
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,1340,,930,,415,,72355,,48145,,24205,
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,170,,80,,90,,12025,,4795,,7235,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,4005,,2570,,1435,,290045,,185310,,104730,
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,3020,,2135,,880,,220550,,150765,,69790,
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,225,,15,,215,,15220,,2450,,12770,
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,665,,360,,305,,49025,,28515,,20515,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,90,,60,,30,,5235,,3580,,1655,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,15735,,14010,,1720,,1173030,,1055050,,117985,
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,820,,570,,245,,51845,,34590,,17265,
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,4975,,4050,,925,,334085,,271010,,63070,
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,3710,,3325,,385,,237775,,214500,,23275,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,,0,,0,,160,,30,,125,
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,2215,,2145,,75,,198790,,194555,,4235,
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,2445,,2390,,55,,225860,,220545,,5315,
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,1575,,1530,,40,,124515,,119820,,4695,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,1285,,780,,510,,106895,,67015,,39880,
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,770,,480,,295,,66035,,41790,,24240,
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,515,,305,,215,,40860,,25230,,15635,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,12130,,2475,,9655,,865970,,173780,,692185,
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1520,,745,,775,,75715,,37005,,38705,
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,10180,,1510,,8675,,767680,,124280,,643400,
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,425,,220,,205,,22575,,12490,,10075,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,4305,,2125,,2180,,340285,,170915,,169375,
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,2275,,545,,1730,,183925,,49390,,134535,
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,15,,20,,0,,2135,,1815,,320,
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,30,,25,,0,,2610,,2385,,225,
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,1415,,1000,,420,,98325,,68625,,29695,
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,565,,535,,25,,53290,,48695,,4595,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,15,,0,,10,,1405,,260,,1145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,10,,0,,10,,1405,,255,,1145,
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,151,96000,,45710,,50285,,7229120,,3498625,,3730500,
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,25500,,13170,,12330,,2521950,,1299790,,1222160,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,4035,,775,,3260,,243635,,52670,,190965,
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,4035,,780,,3260,,243635,,52670,,190965,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,2830,,1220,,1610,,192630,,85175,,107450,
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,450,,335,,110,,28705,,21070,,7635,
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,2380,,885,,1500,,163925,,64105,,99815,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,3970,,1320,,2650,,266665,,95805,,170855,
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,375,,60,,315,,29210,,5775,,23435,
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,1195,,300,,890,,73110,,20225,,52885,
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,1025,,365,,655,,72145,,24330,,47815,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,15,,0,,15,,1665,,615,,1045,
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,180,,115,,65,,17755,,9925,,7830,
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,260,,135,,125,,19390,,11790,,7605,
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,700,,330,,375,,42315,,21735,,20585,
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,220,,20,,205,,11075,,1415,,9655,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,10910,,3565,,7345,,648285,,207200,,441085,
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,45,,0,,45,,8630,,1785,,6845,
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,1310,,560,,750,,67115,,26015,,41105,
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,1670,,70,,1605,,111550,,8405,,103145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,1465,,440,,1020,,108895,,34250,,74650,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,245,,30,,210,,12875,,2705,,10170,
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,1710,,435,,1280,,93770,,21045,,72725,
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,4460,,2015,,2440,,245445,,113000,,132445,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,17250,,7885,,9365,,1026975,,414425,,612550,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,25,,0,,25,,2225,,715,,1510,
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1050,,205,,850,,88130,,16590,,71540,
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,16170,,7680,,8495,,936620,,397120,,539500,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,3320,,1510,,1810,,190235,,88535,,101700,
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,1455,,540,,910,,84580,,33150,,51425,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,750,,335,,420,,41255,,18020,,23240,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,65,,0,,60,,3135,,975,,2165,
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,945,,595,,345,,52490,,33175,,19310,
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,110,,40,,70,,8775,,3215,,5555,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,3450,,2245,,1210,,252275,,162360,,89915,
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,2745,,1935,,810,,198775,,136120,,62655,
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,140,,15,,130,,10755,,1765,,8995,
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,500,,260,,240,,38160,,21440,,16720,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,70,,40,,25,,4580,,3030,,1550,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,11265,,9795,,1470,,878300,,779075,,99225,
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,650,,445,,205,,42115,,27365,,14745,
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,3825,,2995,,835,,266040,,211240,,54800,
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,2550,,2250,,305,,178830,,160160,,18675,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,,0,,0,,140,,25,,115,
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,1410,,1345,,60,,141515,,138160,,3360,
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,1755,,1725,,35,,162855,,158770,,4080,
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,1070,,1040,,30,,86805,,83355,,3450,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,1010,,600,,415,,82775,,49710,,33065,
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,580,,345,,235,,50160,,30065,,20095,
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,435,,255,,180,,32615,,19650,,12965,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,9180,,2000,,7180,,664880,,133665,,531220,
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1295,,645,,650,,58160,,27950,,30205,
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,7550,,1190,,6360,,589085,,96720,,492365,
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,340,,165,,170,,17640,,8990,,8645,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,3255,,1620,,1640,,259400,,129985,,129415,
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,1665,,415,,1250,,137250,,36225,,101030,
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,20,,15,,0,,1685,,1405,,280,
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,10,,10,,0,,1415,,1270,,145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,1135,,770,,370,,77190,,52840,,24345,
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,425,,400,,25,,41855,,38245,,3610,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,10,,0,,10,,1125,,220,,900,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,10,,0,,15,,1125,,225,,900,
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,157,149495,,71150,,78350,,11038440,,5342755,,5695685,
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,57065,,27480,,29580,,4961460,,2447010,,2514445,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,92435,,43665,,48770,,6076985,,2895745,,3181240,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,75765,,35375,,40390,,4786950,,2261260,,2525690,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,69570,,32295,,37275,,4414485,,2081525,,2332960,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,6195,,3085,,3115,,372470,,179735,,192730,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,16665,,8290,,8375,,1290035,,634485,,655545,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,3060,,1605,,1450,,167260,,89350,,77910,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,905,,330,,575,,115410,,39750,,75655,
