School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Marifah School,669366,,NurulEmaan Ameen,D,,1530 Stittsville Main,Ottawa,Ontario,K2S1N7,343-202-0380,,East Region,www.marifah.ca,Elem/Sec,Not applicable,Site based only,No
Marigold Hollow Parochial School,668779,,Henry Weber,,,7573 Sideroad 3 East 6,Mount Forest,Ontario,N0G2L0,519-323-3975,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Mariyah Islamic School,880032,,Mariam Khan,,,3667 Lawrence Ave. East Ave,Scarborough,Ontario,M1G1P7,416-298-4008,416-298-0199,East Region,www.mariyahschool.ca,Elementary,Not applicable,Site based only,No
Markham High School,884576,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ayitu Xirezhati,212,,7191 Yonge Street,Markham,Ontario,L3T0C4,647-883-5851,,Central Region,,Secondary,Not applicable,Online/Site Based,No
Markham Waterloo Continuing Education,884125,,Matthew Frey,,,7758 Wellington Road 8 2,Alma,Ontario,N0B1A0,519-998-0657,,West Region,,Secondary,Not applicable,Site based only,No
Markville Montessori Private School,881803,,Calvin Tang,,,3882 Highway 7,Markham,Ontario,L3R1L3,905-477-1616,,Central Region,www.mmps.ca,Elem/Sec,Not applicable,Online/Site Based,No
Marlborough Academy,884618,,Margaret MOUNTAIN,,,6408 Malakoff Rd,North Gower,Ontario,K0A2T0,613-293-0799,,East Region,,Elem/Sec,Not applicable,Site based only,No
"Mary, Mother of God School",876160,,Gordon Nixon,,,1515A Queen St W,Toronto,Ontario,M6R1A5,416-531-7897,416-531-1026,Toronto Region,www.marymotherofgodschool.org,Elem/Sec,Not applicable,Site based only,No
Maryvale Academy of Ottawa,668870,,Helena Champion,,,2191 Benjamin Avenue,OTTAWA,Ontario,K2A1P6,613-321-2186,613-454-8167,East Region,http://www.maryvaleacademy.ca/,Elementary,Not applicable,Site based only,No
Matawa Education & Care Centre,888751,Offers credits toward the Ontario Secondary School Diploma (OSSD),Brad Battiston,,,200 Lille Street North ST,THUNDER BAY,Ontario,P7C5Y2,807-768-3300,807-768-3301,North Region,www.matawaeducation.com,Secondary,First Nation,Site based only,No
Mater Boni Consilii Academy,667120,,Michael Aguiar,,,1225 Rebecca Street,Oakville,Ontario,L6L1Z1,416-700-9733,,Central Region,www.mbcahalton.com,Elementary,Not applicable,Site based only,No
Matrix Academy,665181,Offers credits toward the Ontario Secondary School Diploma (OSSD),Cheryl McKee,,,216 Goddard Street,toronto,Ontario,M3H5E8,647-291-0085,,Central Region,www.matrix-academy.ca,Elem/Sec,All Year Round,Online Only,No
Matthews Hall,885754,,Richard Anderson,,,1370 Oxford St W,London,Ontario,N6H1W2,519-471-1506,,West Region,http://matthewshall.ca,Elementary,Not applicable,Site based only,"CAIS, CIS Ontario, Orton-Gillingham"
Maxfield Academy,665300,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tim Chen,16,,155 Mostar Street,Whitchurch-Stouffville,Ontario,L4A0Y2,647-998-9419,,Central Region,maxfieldacademy.com,Secondary,All Year Round,Site based only,No
McCanny Secondary School,669808,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alireza Rafiee,,,1051 McNicoll Avenue,North York,Ontario,M1W3W6,416-491-5555,416-491-5555,East Region,www.mccannyschool.com,Elem/Sec,All Year Round,Site based only,No
McCanny Secondary School (West Campus),669416,Offers credits toward the Ontario Secondary School Diploma (OSSD),Aila Anghel,401,,50 Burnhamthorpe Road West,Mississauga,Ontario,L5B3C2,647-505-2313,416-491-5555,Central Region,www.mccannyschool.com,Elem/Sec,All Year Round,Site based only,No
McDonald International Academy,876674,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fraser Rose,2nd Flr,,920 Yonge St,Toronto,Ontario,M4W3C7,416-322-1502,416-322-5775,Toronto Region,http://www.mcdonaldacademy.com,Secondary,All Year Round,Site based only,No
McIntosh Valley,668558,,Lydia Brubacher,,,9 Sideroad 5 1,Clifford,Ontario,N0G1M0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Meadow Brook,669767,,Mahion Shetler,,,284989 Pleasant Valley Road,Norwich,Ontario,N0J1P0,,,West Region,,Elementary,Not applicable,Site based only,No
Meadow Cress School,665168,,Rebecca Evans,,835,,Dresden,Ontario,N0P1M0,519-350-5449,,West Region,www.meadowcress.com,Elem/Sec,Not applicable,Online Only,No
Meadow Crest Parochial School,883126,,Martha Weber,,,"927 Statters Lake Avenue, RR 1",Holyrood,Ontario,N0G2B0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Meadow Green Academy,877409,,Georganne MacKenzie,,,649 The Queensway W,Mississauga,Ontario,L5B1C2,905-273-3344,905-273-4329,Central Region,www.meadowgreenacademy.ca,Elementary,Not applicable,Site based only,ACSI
Meadow Green Academy - Lakeshore,881969,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Georganne MacKenzie,,,1884 Lakeshore Road West,Mississauga,Ontario,L5J1J7,905-822-7479,905-822-4002,Central Region,www.meadowgreenacademy.ca,Elem/Sec,Not applicable,Site based only,ACSI
Meezan School,884428,,Omar Abdool,,,286 Water Street,Guelph,Ontario,N1G1B8,519-265-0306,519-265-5358,West Region,www.meezanschool.com,Elementary,Not applicable,Site based only,No
Mentor College,882291,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christina Weinkauf,,,40 Forest Ave,Mississauga,Ontario,L5G1L1,905-271-3393,905-271-8367,Central Region,http://www.mentorcollege.edu,Elem/Sec,All Year Round,Site based only,No
Mentor College Primary Campus,667590,,Leeanne Talarico,,,56 Cayuga Avenue,Mississauga,Ontario,L5G3S9,905-271-7100,905-271-8076,Central Region,www.mentorcollege.edu,Elementary,Not applicable,Site based only,No
Mentor's Academy,669501,Offers credits toward the Ontario Secondary School Diploma (OSSD),Monjur Morshed,04-Mar,,115 Lebovic Avenue,Toronto,Ontario,M1L0J2,647-780-8811,,Toronto Region,www.mentorsacademy.ca,Secondary,All Year Round,Site based only,No
Merit College,668578,Offers credits toward the Ontario Secondary School Diploma (OSSD),Joe Lu,412,,220 Duncan Mill Road,North York,Ontario,M3B3J5,416-901-2915,,Central Region,www.meritedu.ca,Secondary,Not applicable,Online/Site Based,No
Merit College Online,882564,,Sonu Bhutani,,,3601 Hwy 7 Suite 808,Markham,Ontario,L3R0M3,905-604-2915,,Central Region,,Secondary,Not applicable,Online Only,No
Merriam High School,885904,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rumiko Sokolowski,,,2359 Bristol Circle,Oakville,Ontario,L6H6P8,905-829-2020,,Central Region,https://highschool.merriammusic.com/,Secondary,Not applicable,Online/Site Based,No
Merrick Preparatory School,669447,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin Farrell,,,118 Main Street East,Merrickville,Ontario,K0G1N0,613-269-2064,613-269-2151,East Region,www.merrickprep.com,Secondary,Not applicable,Online/Site Based,Ontario Federation of Independent Schools
Mesivta Thornhill,882521,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Palamarchuk,,,7555 Bathurst St.,Thornhill,Ontario,L4J2K3,647-999-2456,,Central Region,,Secondary,All Year Round,Site based only,No
Metamorphosis Greek Orthodox School,877654,,Anna Saradidis,,,30 Scarsdale Rd,Toronto,Ontario,M3B2R7,416-463-7222,416-463-2971,Central Region,www.mgos.ca,Elementary,Not applicable,Site based only,OFIS
Metro International Secondary Academy,886696,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marty Rempel,,,2 Simonston BLVD,THORNHILL,Ontario,L3T4L1,905-597-4567,,Central Region,www.metroacademy.ca,Secondary,Not applicable,Online/Site Based,Independent and Private School Forum
Metro Virtual Academy,669884,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ashok Madan,1C,,3195 Sheppard Avenue East,Scarborough,Ontario,M1T3K1,647-977-9749,,East Region,https://www.metrovirtualacademy.com/,Elem/Sec,All Year Round,Online Only,No
Metropolitan Bible Baptist Christian Aca,884742,,Gamaliel Romano,,,53 Madawaska Avenue,Toronto,Ontario,M2M2R2,647-220-5609,,Central Region,,Elem/Sec,Not applicable,Site based only,No
Metropolitan College,883137,,Tien Minh Khoi Vu,,,146 James Street South,Hamilton,Ontario,L8P3A2,905-529-5000,,West Region,www.mymc.ca,Secondary,Not applicable,Online/Site Based,No
Metropolitan Preparatory Academy,882070,Offers credits toward the Ontario Secondary School Diploma (OSSD),William McKelvey,3 & 4,,1 Duncan Mill Road,Toronto,Ontario,M3B1Z2,416-285-0870,416-285-0873,Central Region,www.metroprep.com,Elem/Sec,Not applicable,Site based only,OFIS
Middlebrook Parochial School,665576,,Eva Horst,,,6534 8th Line W 1,Elora,Ontario,N0B1S0,519-323-4298,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Migisi Sahgaigan School,663205,,Sarah Friesen,,1005,42 School Road,Eagle Lake First Nation,Ontario,P0V3H0,807-755-5350,,North Region,www.eaglelakefirstnation.ca/community-service/migisi-sahgaigan-school/,Elementary,First Nation,Site based only,No
Migizi Miigwanan Secondary School,663375,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jennifer Dunbar,,360,"100 Marten Road Road, LL58FN",Longlac,Ontario,P0T2A0,807-876-9607,807-876-4219,North Region,,Secondary,First Nation,Site based only,No
Mikinaak Onigaming School,663697,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mikinaak Pittman,,Box 339,212 Mikinaak Drive,Nestor Falls,Ontario,P0X1K0,807-484-2510,807-484-2352,North Region,,Elem/Sec,First Nation,Site based only,No
"Mildenhall School, The",887964,,Nicholas Raymond,,,35 OURLAND AVE,ETOBICOKE,Ontario,M8Z4E1,416-259-2822,,Toronto Region,www.mildenhallmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
Milestone Secondary School,882645,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bahman Karimi,,,,Toronto,Ontario,M2N6K1,416-830-0120,,Toronto Region,,Secondary,All Year Round,Online/Site Based,No
Millers School,887502,,Aluin Shetler,,,244635 Zenda Line,Tillsonburg,Ontario,N4G4N1,,,West Region,,Elementary,Not applicable,Site based only,No
Millpond Academy,880445,,Julie Millward,,,87 Blandford Street,Innerkip,Ontario,N0J1M0,519-781-7389,,West Region,,Elementary,Not applicable,Site based only,No
Milton Christian School,886543,,Howard Martin,,,45 Bruce Street,Milton,Ontario,L9T2L5,905-878-0550,,Central Region,www.miltonchristianschool.com,Elementary,Not applicable,Site based only,EDVANCE Christian Schools
"MindTech Academic Schools, Inc",666408,,Khazimain Akbar,,,1 Dickson Hill Rd,Markham,Ontario,L3P3J3,905-640-5333,905-640-0944,Central Region,www.mindtechschools.com,Elementary,Not applicable,Site based only,No
Mindview Academy,668579,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdelsamie Hamed,Suite 215,,2900 Steeles Ave East,Thornhill,Ontario,L3T4X1,905-370-2201,,Central Region,mindviewacademy.com,Secondary,All Year Round,Online/Site Based,No
Mindware Academy,665135,,Susan Mancini,,,985 PINECREST RD,OTTAWA,Ontario,K2B6B4,613-882-3449,,East Region,www.mindware.ca,Elementary,Not applicable,Site based only,OFIS
Mindwerx4kids Learning Centre,883933,,Denise Martyn,,,76 Anglesey Blvd.,Etobicoke,Ontario,M9A3C1,416-231-6945,416-231-7332,Toronto Region,www.mindwerx4kids.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Miniversity Academy Toronto,885415,Offers credits toward the Ontario Secondary School Diploma (OSSD),ERIC CHEUNG,208,,8920 Woodbine Ave.,Markham,Ontario,L3R9W9,416-223-7888,,Central Region,miniversity.ac,Secondary,All Year Round,Online Only,No
Minto Meadow Parochial School,875180,,Mary Lynn Weber,,,6497 Tenth Line 1,Harriston,Ontario,N0G1Z0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Miraj Academy,885930,,Fauzia Manjra,22,,1080 Tapscott Road,Scarborough,Ontario,M1X1E7,647-680-5322,,Toronto Region,www.mirajacademy.ca,Elementary,Not applicable,Site based only,No
Missing Links Academy,665790,,Amardeep Badwall,500,,2317 FAIRVIEW ST,BURLINGTON,Ontario,L7R2E3,289-337-0555,289-337-5231,West Region,http://www.missinglinks.ca/,Elementary,Not applicable,Site based only,No
Mississauga Christian Academy,880647,,Daniel Jovin,,,2720 Gananoque Drive,Mississauga,Ontario,L5N2R2,905-826-4114,905-567-5874,Central Region,http://www.mcalearn.com,Elementary,Not applicable,Site based only,ACSI & Edvance
Mississauga First Nation Adult Education,668852,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stacey Schellekens,,1299,148 Village Road,Blind River,Ontario,P0R1B0,705-356-3197,705-356-1867,North Region,www.mississaugi.com,Secondary,First Nation,Online/Site Based,No
Mississauga Secondary Academy,667051,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fang Liu,240,,33 City Centre Drive,Mississauga,Ontario,L5B2N5,905-232-0672,905-232-1672,Central Region,www.msaedu.ca,Secondary,All Year Round,Site based only,No
Mizhakiiwetung Memorial,663719,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gay McDonald,,,General Delivery,White Dog,Ontario,P0X1P0,807-927-2000,807-927-2176,North Region,,Elem/Sec,First Nation,Site based only,No
Modern Montessori Academy,668371,,Areej Hamou,,,74 Florence Dr,Oakville,Ontario,L6K1V6,226-246-1506,,Central Region,,Elementary,Not applicable,Online/Site Based,No
Monarch Academy,886414,,Agnesha Mieczkowski,201/202,,626 Burnhamthorpe,Mississauga,Ontario,L5B2C4,416-537-3724,,Central Region,monarch-academy.ca,Elementary,Not applicable,Site based only,No
Montcrest School,886955,,Patricia MacDonald,,,658 Broadview Avenue,Toronto,Ontario,M4K2P1,416-469-2008,416-469-0934,Toronto Region,montcrest.ca,Elementary,Not applicable,Site based only,Conference of Independent Schools
Montessori Academy of London,887919,,Kristine Brown,,,719 Waterloo Street,London,Ontario,N6A3W1,519-433-9121,519-433-8941,West Region,http://www.montessori.on.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
"Montessori Country School-Nobleton, The",882780,,Kane Burg,,,6185 15th Sideroad,Nobleton,Ontario,L0G1N0,905-859-4739,905-859-5696,Central Region,http://www.montessoricountryschool.ca/,Elementary,Not applicable,Site based only,CCMA and OFIS
Montessori Jewish Day School,665711,,Sarit Yurovitch,,,55 Yeomans Rd,Toronto,Ontario,M3H3J7,416-784-5071,416-784-2049,Central Region,http://www.mjds.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
Montessori Leaders School,668375,,Yomna Awad,1 & 2,,20 RED MAPLE DR,BRAMPTON,Ontario,L6X4N7,905-455-7758,905-455-8559,Central Region,www.montessorileaders.ca,Elementary,Not applicable,Site based only,No
Montessori Learning Centre,882917,,Nicola Phillips-Reece,,,401 Kingston Rd,Pickering,Ontario,L1V1A3,905-509-1722,905-509-8283,East Region,www.mlcp.ca,Elementary,Not applicable,Site based only,OFIS
Montessori School of Cambridge,665379,,Theresa Dejmek,,,7 Roseview Avenue,Cambridge,Ontario,N1R4A5,519-622-1470,,West Region,www.montessoricambridge.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
Montessori School of Kleinburg,666440,,Vincenza Marzano,,,10515 27 Highway,Kleinburg,Ontario,L0J1C0,905-893-0560,905-893-9374,Central Region,www.msk2002.com,Elementary,Not applicable,Site based only,CCMA and OFIS
Montessori School of Milton Inc,669398,,Amjad Saddique,138,,336 Bronte Street S,Milton,Ontario,L9T7W6,905-876-4001,,Central Region,www.montessorischoolofmilton.com,Elementary,Not applicable,Site based only,No
Moose Factory Academy,877301,,Barbara Chum,,Box 380,18 North,Moose Factory,Ontario,P0L1W0,705-658-4677,705-658-5271,North Region,,Elementary,Not applicable,Site based only,No
Morning Star Christian School,888583,,Connie Martin,,69,4088 Perth Line 72,Millbank,Ontario,N0K1L0,519-595-4831,519-595-4381,West Region,,Elem/Sec,Not applicable,Site based only,No
Mosedale Secondary School,669707,,Stephen Siu,300,,7300 Warden Avenue,Markham,Ontario,L3R9Z6,416-826-6883,,Central Region,www.mosedale.ca,Secondary,Not applicable,Online/Site Based,No
Mother Earth's Learning Village,884173,,Stephanie Kozak,,,797 Middletown Road,Waterdown,Ontario,L0R2H2,289-244-4732,,West Region,,Elementary,Not applicable,Online/Site Based,No
Mount Hope Parochial School,885615,,Carolyn Martin,,,1128 Elderslie Arran Townline,Dobbinton,Ontario,N0H1L0,519-934-1408,,West Region,,Elementary,Not applicable,Site based only,No
Mount Salem Christian School,884227,,Sherry Peters,,,6576 Springfield Road 6,Aylmer,Ontario,N5H2R5,519-765-3555,519-765-3879,West Region,www.mtscs.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
Mount Sinai Education,882392,,Shehreen Zaman,163,,50 Burnhamthorpe Rd W #86,Mississauga,Ontario,L5B3C2,647-835-7925,,Central Region,,Elem/Sec,Not applicable,Online Only,No
Moving Art,885416,,Carla Tucker,,,125 Anne St. S,Barrie,Ontario,L4N7B6,705-792-2877,,Central Region,www.movingart.ca,Elem/Sec,Not applicable,Site based only,No
Mulberry Waldorf School,665100,,Carlina Heins,,,25 Markland St,Kingston,Ontario,K7K1S2,613-542-0669,613-542-0667,East Region,www.mulberrywaldorfschool.ca,Elementary,Not applicable,Site based only,"AWSNA, WECAN"
Muskoka Christian School,880043,,Lauralynn Mercer,,Box 150,2483 Old Muskoka Rd,Utterson,Ontario,P0B1M0,705-385-2847,705-385-1756,Central Region,http://www.muskokachristianschool.com,Elementary,Not applicable,Site based only,Edvance Christian School Association
Muskoka Highlands Academy,667973,,Brian WARD,,,1655 Hidden Valley Road,Huntsville,Ontario,P1H1A4,416-871-3241,,Central Region,,Elementary,Not applicable,Site based only,No
Muskoka Montessori School,878537,,Jackie Farley,,,228 Chub Lake Rd,Huntsville,Ontario,P1H1S4,705-788-3802,705-788-3802,Central Region,www.muskokamontessori.ca,Elementary,Not applicable,Site based only,CCMA
My First Montessori School,668664,,Rishi Bhayani,,,Unit C - 11210 Creditview Road,Brampton,Ontario,L7A4X3,289-401-0650,,Central Region,,Elementary,Not applicable,Online Only,No
My Learning Oasis,669004,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rabindranath Sharma,1,,24 Jacksonville Drive Dr.,Brampton,Ontario,L6P2Z3,647-718-3576,,Central Region,mylearningoasis.com,Elem/Sec,Not applicable,Online/Site Based,No
NOIC Academy,667013,Offers credits toward the Ontario Secondary School Diploma (OSSD),Laura Green,,,50 Featherstone Ave,Markham,Ontario,L3S2H4,905-472-2002,,East Region,www.noic.ca,Secondary,All Year Round,Online/Site Based,Ontario Federation of Independent Schools
NORTH CARIBOU LAKE FIRST NATION HIGH SCHOOL,663405,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),RICHARD LLANERA,,,200 WHITEFISH LAKE ROAD,WEAGAMOW LAKE,Ontario,P0V2Y0,807-469-1397,807-469-1493,North Region,,Secondary,First Nation,Site based only,No
NSRIC International School in Toronto,665414,Offers credits toward the Ontario Secondary School Diploma (OSSD),"Abdul Fattah, Nazmul Haq",,,1610 Finley Crescent,London,Ontario,N6G0T1,519-860-4462,,West Region,www.nistonline.ca,Elem/Sec,Not applicable,Online/Site Based,No
Nancy Campbell Academy,876623,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gordon Naylor,,,45 Waterloo Street South,Stratford,Ontario,N5A4A8,519-272-1900,,West Region,http://www.nancycampbell.ca,Elem/Sec,Not applicable,Online/Site Based,No
National E School,886726,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin Huang,,,230 St Clair Ave W,Toronto,Ontario,M4V1R5,647-351-6040,,Toronto Region,https://nationales.ca,Secondary,All Year Round,Online Only,No
National Ski Academy,884949,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tobin Walsh,,,200 Oak St,Collingwood,Ontario,L9Y2Y1,705-444-1617,705-444-2685,Central Region,www.nsa.on.ca,Secondary,Not applicable,Site based only,No
Nature School and Education Centre,880133,,Jennifer Grimes,,,4129 Hixon Street,Beamsville,Ontario,L0R1B0,289-990-2939,,West Region,www.natureschoolniagara.com,Elementary,Not applicable,Site based only,No
Nbisiing Secondary School,663824,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lacy Farrell,,,469B Couchie Memorial Drive,North Bay,Ontario,P1B8G5,705-497-9938,705-497-0389,North Region,http://www.nbisiing.com,Secondary,First Nation,Site based only,No
Ner Israel Yeshiva,887269,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jory Vernon,,,250 Bathurst Glen,Thornhill,Ontario,L4J8A7,905-731-1224,905-731-2104,Central Region,,Secondary,Not applicable,Site based only,No
Netamisakomik Centre for Education,663883,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Michael Rethazi,,Box 615,627 6th Street,Mobert,Ontario,P0M2J0,807-822-2011,807-822-2710,North Region,,Elem/Sec,First Nation,Online/Site Based,No
Netivot Hatorah Day School,883239,,Reesa Bacher-Karch,,,18 Atkinson Ave,Thornhill,Ontario,L4J8C8,905-771-1234,905-771-1807,Central Region,http://www.netivot.com,Elementary,Not applicable,Site based only,No
Neustadt Horizon Parochial School,883281,,Megan Weber,,,032226 Sideroad 5 1,Ayton,Ontario,N0G1C0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial School
New Covenant Church School,876879,,Sunil Maryil,,,1800 Ellesmere Rd,Toronto,Ontario,M1H2V5,416-289-4401,416-289-4401,East Region,,Elementary,Not applicable,Site based only,Pentecostal
New Earth Wonders,886876,,Angela Sena,,,69 Tilden Crescent,Toronto,Ontario,M9P1V8,647-525-1789,,Toronto Region,,Elementary,Not applicable,Site based only,No
New Haven Learning Centre,878308,,Sandra Hughes,,,301 Lanor Ave,Etobicoke,Ontario,M8W2R1,416-259-4445,,Central Region,newhavencentre.com,Elem/Sec,Not applicable,Online/Site Based,No
New Heights International Academy,668643,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kathleen D'Uva,500,,27 Carlton Street,Toronto,Ontario,M5B1L2,416-506-1212,,Toronto Region,newheightstoronto.com,Secondary,All Year Round,Online/Site Based,No
New Hope Baptist School,886552,,Greg Friesen,,,56675 Green Line Road,Tillsonburg,Ontario,N4G4V1,519-842-3251,,West Region,,Elem/Sec,Not applicable,Site based only,No
New Jerusalem Parochial,887587,,Marietta Martin,,,1505 Scotch Line Road 2,Elmira,Ontario,N3B2Z2,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
New Renaissance Academy,885599,Offers credits toward the Ontario Secondary School Diploma (OSSD),ANNA GEMMITI,,,9500 Dufferin Street,Maple,Ontario,L6A1S2,905-303-4006,905-303-0513,Central Region,www.nracademy.ca,Elem/Sec,All Year Round,Online/Site Based,No
Newmarket & District Christian Academy,880493,,Natalie Collins,,,221 Carlson Drive,Newmarket,Ontario,L3Y3H4,905-895-1199,,Central Region,http://www.ndca.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
Newmarket Montessori & Christian Academy,882021,,Bonnie Baber,,,1140 Gorham Street,Newmarket,Ontario,L3Y8W4,905-830-9191,,Central Region,www.nmcla.ca,Elem/Sec,Not applicable,Site based only,Ontario Accelerated Christian Education Association
Newton International College,883695,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rudy Maharaj,,,143 Willowdale Ave,North York,Ontario,M2N4Y5,416-613-9618,647-699-9289,Toronto Region,www.nictoronto.ca,Elem/Sec,All Year Round,Site based only,No
Newton Virtual Academy,666260,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rudy Maharaj,,,2F-143 Willowdale Ave,North York,Ontario,M2N4Y5,416-613-9618,,Toronto Region,www.newtonvirtual.lilicampus.com/,Secondary,All Year Round,Online Only,No
Newton's Grove School,889709,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Cassar,,,6850 Goreway Drive,Mississauga,Ontario,L4V1V7,416-745-1328,,Central Region,www.newtonsgroveschool.com,Elem/Sec,Not applicable,Site based only,No
Niagara Centre Academy,665460,,Jane Li,,,4760 Epworth Circle,Niagara Falls,Ontario,L2E1C6,905-513-1685,206-339-2994,West Region,,Elem/Sec,Not applicable,Site based only,No
Niagara Christian Collegiate,885142,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christopher Baird,,,2619 Niagara Parkway,Fort Erie,Ontario,L2A5M4,905-871-6980,905-871-9260,West Region,http://www.niagaracc.com,Secondary,Not applicable,Site based only,No
Niagara Christian Collegiate Middle Scho,669044,,Christopher Baird,,,2619 Niagara Parkway,Fort Erie,Ontario,L2A5M4,905-871-6980,905-871-9360,West Region,www.niagaracc.com,Elementary,Not applicable,Site based only,No
Nile Academy Blue Haven Campus,669644,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mehmet Gokce,,,5 Blue Haven Crescent,Toronto,Ontario,M9M1W6,647-748-6453,647-352-6453,Central Region,www.nileacademy.ca,Elem/Sec,All Year Round,Online/Site Based,No
Nimbus Christian Education,884643,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gwyneth Zylstra,,,11643 Trafalgar Road,Georgetown,Ontario,L7G4S4,289-678-1721,,Central Region,www.nimbuseducation.ca,Elem/Sec,All Year Round,Online Only,Association of Christian Schools International and Edvance
No. 1 Chinese School,669570,,Biling Lin,,,212 Hillsview Drive,Richmond Hill,Ontario,L4C1T2,647-998-0928,,Central Region,,Elementary,Not applicable,Site based only,No
Noon Academy,880824,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dana Flynn,6&7,,12 Rutherford Road,Brampton,Ontario,L6W3J1,905-216-3981,905-216-3982,Central Region,www.noonacademy.net,Elem/Sec,Not applicable,Site based only,No
Norfolk Forest School,667871,,Bernt Solymar,,,2202 Front Rd.,Vittoria,Ontario,N0E1W0,519-410-7376,,West Region,www.naturescalling.ca,Elementary,Not applicable,Site based only,No
North Bay High School,668703,Offers credits toward the Ontario Secondary School Diploma (OSSD),James Shaw,,,2 Duncan Milles Rd,North York,Ontario,M3B2V1,,,Central Region,www.northbayhighschool.com,Secondary,All Year Round,Online/Site Based,No
North Hill Private School,878669,,Doriana Velardo,,,9555 Weston Rd,Woodbridge,Ontario,L4H3A5,905-832-7783,905-832-7751,Central Region,northhillprivate.ca,Elementary,Not applicable,Site based only,No
North Shore Parochial,667285,,Elam Weber,,,4373 Government Road 2,Desbarats,Ontario,P0R1E0,,,North Region,,Elementary,Not applicable,Site based only,Algoma Orthodox Mennonite Schools
North Star Christian Day School,889008,,shirly brubacher,,107,Mine Centre Road,Mine Centre,Ontario,P0W1H0,807-599-2798,,North Region,,Elem/Sec,Not applicable,Site based only,No
North Star Forest-School,886625,,Scott Matheson,,,248 Stokes Bay Road,Lions Head,Ontario,N0H1W0,519-379-1366,,West Region,,Elementary,Not applicable,Site based only,Ontario Camps Association
North Toronto Christian School,876895,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nicole Brouwer,,,255 Yorkland Blvd,Toronto,Ontario,M2J1S3,416-491-7667,416-491-3806,Central Region,http://www.ntcs.on.ca,Elem/Sec,All Year Round,Site based only,Edvance Christian Schools Association
North Valley Parochial School,668014,,Anthony Frey,,,950205 Hwy 569 2,Thornloe,Ontario,P0J1S0,,,North Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
North Woolwich Parochial School,887641,,Dorothy Brubacher,,,4194 Arthur St N 1,Elmira,Ontario,N3B2Z1,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
