Topic,Characteristics,,Total
Immigrants by selected place of birth,    Lebanon,,230
Immigrants by selected place of birth,    Pakistan,,7320
Immigrants by selected place of birth,    Philippines,,2470
Immigrants by selected place of birth,    Sri Lanka,,680
Immigrants by selected place of birth,    Syria,,145
Immigrants by selected place of birth,    Taiwan,,35
Immigrants by selected place of birth,    Viet Nam,,435
Immigrants by selected place of birth,    Other places of birth in Asia,,2100
Immigrants by selected place of birth,  Oceania and other places of birth,,95
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,,5635
Recent immigrants by selected places of birth,  Americas,,750
Recent immigrants by selected places of birth,    Brazil,,60
Recent immigrants by selected places of birth,    Colombia,,100
Recent immigrants by selected places of birth,    Cuba,,10
Recent immigrants by selected places of birth,    Haiti,,0
Recent immigrants by selected places of birth,    Jamaica,,50
Recent immigrants by selected places of birth,    Mexico,,65
Recent immigrants by selected places of birth,    United States,,255
Recent immigrants by selected places of birth,    Venezuela,,75
Recent immigrants by selected places of birth,    Other places of birth in Americas,,145
Recent immigrants by selected places of birth,  Europe,,350
Recent immigrants by selected places of birth,    France,,10
Recent immigrants by selected places of birth,    Germany,,0
Recent immigrants by selected places of birth,    Ireland,,25
Recent immigrants by selected places of birth,    Moldova,,10
Recent immigrants by selected places of birth,    Romania,,20
Recent immigrants by selected places of birth,    Russian Federation,,20
Recent immigrants by selected places of birth,    Ukraine,,10
Recent immigrants by selected places of birth,    United Kingdom,,150
Recent immigrants by selected places of birth,    Other places of birth in Europe,,95
Recent immigrants by selected places of birth,  Africa,,670
Recent immigrants by selected places of birth,    Algeria,,15
Recent immigrants by selected places of birth,    Cameroon,,10
Recent immigrants by selected places of birth,    Congo; Democratic Republic of the,,20
Recent immigrants by selected places of birth,    Côte d'Ivoire,,0
Recent immigrants by selected places of birth,    Egypt,,420
Recent immigrants by selected places of birth,    Eritrea,,0
Recent immigrants by selected places of birth,    Ethiopia,,10
Recent immigrants by selected places of birth,    Morocco,,0
Recent immigrants by selected places of birth,    Nigeria,,80
Recent immigrants by selected places of birth,    Somalia,,30
Recent immigrants by selected places of birth,    South Africa; Republic of,,10
Recent immigrants by selected places of birth,    Tunisia,,10
Recent immigrants by selected places of birth,    Other places of birth in Africa,,85
Recent immigrants by selected places of birth,  Asia,,3850
Recent immigrants by selected places of birth,    Afghanistan,,60
Recent immigrants by selected places of birth,    Bangladesh,,65
Recent immigrants by selected places of birth,    China,,150
Recent immigrants by selected places of birth,    Hong Kong,,20
Recent immigrants by selected places of birth,    India,,870
Recent immigrants by selected places of birth,    Iran,,0
Recent immigrants by selected places of birth,    Iraq,,390
Recent immigrants by selected places of birth,    Israel,,0
Recent immigrants by selected places of birth,    Japan,,15
Recent immigrants by selected places of birth,    Korea; South,,35
Recent immigrants by selected places of birth,    Lebanon,,35
Recent immigrants by selected places of birth,    Nepal,,15
Recent immigrants by selected places of birth,    Pakistan,,1210
Recent immigrants by selected places of birth,    Philippines,,475
Recent immigrants by selected places of birth,    Saudi Arabia,,115
Recent immigrants by selected places of birth,    Sri Lanka,,30
Recent immigrants by selected places of birth,    Syria,,55
Recent immigrants by selected places of birth,    Taiwan,,0
Recent immigrants by selected places of birth,    Turkey,,0
Recent immigrants by selected places of birth,    United Arab Emirates,,150
Recent immigrants by selected places of birth,    Viet Nam,,10
Recent immigrants by selected places of birth,    Other places of birth in Asia,,140
Recent immigrants by selected places of birth,  Oceania and other,,15
Recent immigrants by selected places of birth,    Australia,,20
Recent immigrants by selected places of birth,    Other places of birth,,0
Generation status,Total - Generation status for the population in private households - 25% sample data,,108935
Generation status,  First generation,,40515
Generation status,  Second generation,,32635
Generation status,  Third generation or more,,35790
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,,32905
Admission category and applicant type,  Economic immigrants,,19225
Admission category and applicant type,    Principal applicants,,6680
Admission category and applicant type,    Secondary applicants,,12550
Admission category and applicant type,  Immigrants sponsored by family,,9555
Admission category and applicant type,  Refugees,,3920
Admission category and applicant type,  Other immigrants,,205
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,,108935
Aboriginal population,  Aboriginal identity,,1040
Aboriginal population,    Single Aboriginal responses,,935
Aboriginal population,      First Nations (North American Indian),,595
Aboriginal population,      Métis,,325
Aboriginal population,      Inuk (Inuit),,20
Aboriginal population,    Multiple Aboriginal responses,,50
Aboriginal population,    Aboriginal responses not included elsewhere,,55
Aboriginal population,  Non-Aboriginal identity,,107890
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,,108935
Aboriginal population,  Registered or Treaty Indian,,275
Aboriginal population,  Not a Registered or Treaty Indian,,108655
Aboriginal population,Total - Aboriginal ancestry for the population in private households - 25% sample data,,108935
Aboriginal population,  Aboriginal ancestry (only),,95
Aboriginal population,    Single Aboriginal ancestry (only),,95
Aboriginal population,      First Nations (North American Indian) single ancestry,,70
Aboriginal population,      Métis single ancestry,,25
Aboriginal population,      Inuit single ancestry,,0
Aboriginal population,    Multiple Aboriginal ancestries (only),,0
Aboriginal population,      First Nations (North American Indian) and Métis ancestries,,0
Aboriginal population,      First Nations (North American Indian) and Inuit ancestries,,0
Aboriginal population,      Métis and Inuit ancestries,,0
Aboriginal population,      First Nations (North American Indian); Métis and Inuit ancestries,,0
Aboriginal population,  Aboriginal and non-Aboriginal ancestries,,1525
Aboriginal population,    Single Aboriginal and non-Aboriginal ancestries,,1490
Aboriginal population,      First Nations (North American Indian) and non-Aboriginal ancestries,,1045
Aboriginal population,      Métis and non-Aboriginal ancestries,,420
Aboriginal population,      Inuit and non-Aboriginal ancestries,,25
Aboriginal population,    Multiple Aboriginal and non-Aboriginal ancestries,,35
Aboriginal population,      First Nations (North American Indian); Métis and non-Aboriginal ancestries,,30
Aboriginal population,      First Nations (North American Indian); Inuit and non-Aboriginal ancestries,,0
Aboriginal population,      Métis; Inuit and non-Aboriginal ancestries,,0
Aboriginal population,      First Nations (North American Indian); Métis; Inuit and non-Aboriginal ancestries,,0
Aboriginal population,  Non-Aboriginal ancestry (only),,107315
Visible minority population,Total - Visible minority for the population in private households - 25% sample data,,108935
Visible minority population,  Total visible minority population,,46615
Visible minority population,    South Asian,,22895
Visible minority population,    Chinese,,2490
Visible minority population,    Black,,5280
Visible minority population,    Filipino,,4195
Visible minority population,    Latin American,,2575
Visible minority population,    Arab,,3810
Visible minority population,    Southeast Asian,,900
Visible minority population,    West Asian,,1010
Visible minority population,    Korean,,580
Visible minority population,    Japanese,,355
Visible minority population,    Visible minority; n.i.e.,,1015
Visible minority population,    Multiple visible minorities,,1505
Visible minority population,  Not a visible minority,,62320
Ethnic origin population,Total - Ethnic origin for the population in private households - 25% sample data,,108935
Ethnic origin population,  North American Aboriginal origins,,1620
Ethnic origin population,    First Nations (North American Indian),,1150
Ethnic origin population,    Inuit,,30
Ethnic origin population,    Métis,,475
Ethnic origin population,  Other North American origins,,21070
Ethnic origin population,    Acadian,,90
Ethnic origin population,    American,,1110
Ethnic origin population,    Canadian,,20245
Ethnic origin population,    New Brunswicker,,10
Ethnic origin population,    Newfoundlander,,70
Ethnic origin population,    Nova Scotian,,10
Ethnic origin population,    Ontarian,,10
Ethnic origin population,    Québécois,,0
Ethnic origin population,    Other North American origins; n.i.e.,,0
Ethnic origin population,  European origins,,58385
Ethnic origin population,    British Isles origins,,34020
Ethnic origin population,      Channel Islander,,20
Ethnic origin population,      Cornish,,15
Ethnic origin population,      English,,18905
Ethnic origin population,      Irish,,13905
Ethnic origin population,      Manx,,10
Ethnic origin population,      Scottish,,15385
Ethnic origin population,      Welsh,,1285
Ethnic origin population,      British Isles origins; n.i.e.,,2995
Ethnic origin population,    French origins,,6190
Ethnic origin population,      Alsatian,,10
Ethnic origin population,      Breton,,0
Ethnic origin population,      Corsican,,0
Ethnic origin population,      French,,6180
Ethnic origin population,    Western European origins (except French origins),,10840
Ethnic origin population,      Austrian,,545
Ethnic origin population,      Bavarian,,10
Ethnic origin population,      Belgian,,270
Ethnic origin population,      Dutch,,3245
Ethnic origin population,      Flemish,,30
Ethnic origin population,      Frisian,,10
Ethnic origin population,      German,,7330
Ethnic origin population,      Luxembourger,,0
Ethnic origin population,      Swiss,,325
Ethnic origin population,      Western European origins; n.i.e.,,10
Ethnic origin population,    Northern European origins (except British Isles origins),,1645
Ethnic origin population,      Danish,,410
Ethnic origin population,      Finnish,,470
Ethnic origin population,      Icelandic,,110
Ethnic origin population,      Norwegian,,320
Ethnic origin population,      Swedish,,405
Ethnic origin population,      Northern European origins; n.i.e.,,50
Ethnic origin population,    Eastern European origins,,10415
Ethnic origin population,      Bulgarian,,165
Ethnic origin population,      Byelorussian,,115
Ethnic origin population,      Czech,,305
Ethnic origin population,      Czechoslovakian; n.o.s.,,120
Ethnic origin population,      Estonian,,145
Ethnic origin population,      Hungarian,,925
Ethnic origin population,      Latvian,,100
Ethnic origin population,      Lithuanian,,210
Ethnic origin population,      Moldovan,,0
Ethnic origin population,      Polish,,5275
Ethnic origin population,      Romanian,,795
Ethnic origin population,      Russian,,915
Ethnic origin population,      Slovak,,200
Ethnic origin population,      Ukrainian,,2715
Ethnic origin population,      Eastern European origins; n.i.e.,,40
Ethnic origin population,    Southern European origins,,18175
Ethnic origin population,      Albanian,,190
Ethnic origin population,      Bosnian,,185
Ethnic origin population,      Catalan,,0
Ethnic origin population,      Croatian,,1420
Ethnic origin population,      Cypriot,,55
Ethnic origin population,      Greek,,1055
Ethnic origin population,      Italian,,8345
Ethnic origin population,      Kosovar,,0
Ethnic origin population,      Macedonian,,495
Ethnic origin population,      Maltese,,725
Ethnic origin population,      Montenegrin,,10
Ethnic origin population,      Portuguese,,4720
Ethnic origin population,      Serbian,,580
Ethnic origin population,      Sicilian,,10
Ethnic origin population,      Slovenian,,340
Ethnic origin population,      Spanish,,1790
Ethnic origin population,      Yugoslavian; n.o.s.,,125
Ethnic origin population,      Southern European origins; n.i.e.,,20
Ethnic origin population,    Other European origins,,275
Ethnic origin population,      Basque,,0
Ethnic origin population,      Jewish,,110
Ethnic origin population,      Roma (Gypsy),,40
Ethnic origin population,      Slavic; n.o.s.,,15
Ethnic origin population,      Other European origins; n.i.e.,,100
Ethnic origin population,  Caribbean origins,,4605
Ethnic origin population,    Antiguan,,10
Ethnic origin population,    Bahamian,,15
Ethnic origin population,    Barbadian,,375
Ethnic origin population,    Bermudan,,15
Ethnic origin population,    Carib,,20
Ethnic origin population,    Cuban,,145
Ethnic origin population,    Dominican,,80
Ethnic origin population,    Grenadian,,100
Ethnic origin population,    Guadeloupean,,0
Ethnic origin population,    Haitian,,30
Ethnic origin population,    Jamaican,,2640
Ethnic origin population,    Kittitian/Nevisian,,20
Ethnic origin population,    Martinican,,0
Ethnic origin population,    Montserratan,,10
Ethnic origin population,    Puerto Rican,,35
Ethnic origin population,    St. Lucian,,35
Ethnic origin population,    Trinidadian/Tobagonian,,820
Ethnic origin population,    Vincentian/Grenadinian,,105
Ethnic origin population,    West Indian; n.o.s.,,610
Ethnic origin population,    Caribbean origins; n.i.e.,,110
Ethnic origin population,  Latin; Central and South American origins,,4300
Ethnic origin population,    Aboriginal from Central/South America (except Arawak and Maya),,155
Ethnic origin population,    Arawak,,0
Ethnic origin population,    Argentinian,,165
Ethnic origin population,    Belizean,,10
Ethnic origin population,    Bolivian,,15
Ethnic origin population,    Brazilian,,325
Ethnic origin population,    Chilean,,220
Ethnic origin population,    Colombian,,1150
Ethnic origin population,    Costa Rican,,0
Ethnic origin population,    Ecuadorian,,160
Ethnic origin population,    Guatemalan,,120
Ethnic origin population,    Guyanese,,720
Ethnic origin population,    Hispanic,,40
Ethnic origin population,    Honduran,,10
Ethnic origin population,    Maya,,0
Ethnic origin population,    Mexican,,490
Ethnic origin population,    Nicaraguan,,45
Ethnic origin population,    Panamanian,,30
Ethnic origin population,    Paraguayan,,15
Ethnic origin population,    Peruvian,,325
Ethnic origin population,    Salvadorean,,165
Ethnic origin population,    Uruguayan,,105
Ethnic origin population,    Venezuelan,,230
Ethnic origin population,    Latin; Central and South American origins; n.i.e.,,120
Ethnic origin population,  African origins,,4710
Ethnic origin population,    Central and West African origins,,970
Ethnic origin population,      Akan,,0
Ethnic origin population,      Angolan,,10
Ethnic origin population,      Ashanti,,15
Ethnic origin population,      Beninese,,0
Ethnic origin population,      Burkinabe,,0
Ethnic origin population,      Cameroonian,,90
Ethnic origin population,      Chadian,,0
Ethnic origin population,      Congolese,,50
Ethnic origin population,      Edo,,10
Ethnic origin population,      Ewe,,0
Ethnic origin population,      Gabonese,,0
Ethnic origin population,      Gambian,,0
Ethnic origin population,      Ghanaian,,290
Ethnic origin population,      Guinean,,0
Ethnic origin population,      Ibo,,25
Ethnic origin population,      Ivorian,,0
Ethnic origin population,      Liberian,,0
Ethnic origin population,      Malian,,0
Ethnic origin population,      Malinké,,0
Ethnic origin population,      Nigerian,,320
Ethnic origin population,      Peulh,,0
Ethnic origin population,      Senegalese,,10
Ethnic origin population,      Sierra Leonean,,0
Ethnic origin population,      Togolese,,0
Ethnic origin population,      Wolof,,0
Ethnic origin population,      Yoruba,,160
Ethnic origin population,      Central and West African origins; n.i.e.,,75
Ethnic origin population,    North African origins,,1980
Ethnic origin population,      Algerian,,30
Ethnic origin population,      Berber,,20
Ethnic origin population,      Coptic,,160
Ethnic origin population,      Dinka,,15
Ethnic origin population,      Egyptian,,1715
Ethnic origin population,      Libyan,,0
Ethnic origin population,      Maure,,0
Ethnic origin population,      Moroccan,,70
Ethnic origin population,      Sudanese,,55
Ethnic origin population,      Tunisian,,25
Ethnic origin population,      North African origins; n.i.e.,,10
Ethnic origin population,    Southern and East African origins,,835
Ethnic origin population,      Afrikaner,,15
Ethnic origin population,      Amhara,,0
Ethnic origin population,      Bantu; n.o.s.,,10
Ethnic origin population,      Burundian,,50
Ethnic origin population,      Djiboutian,,0
Ethnic origin population,      Eritrean,,50
Ethnic origin population,      Ethiopian,,25
Ethnic origin population,      Harari,,0
Ethnic origin population,      Kenyan,,60
Ethnic origin population,      Malagasy,,10
Ethnic origin population,      Mauritian,,55
Ethnic origin population,      Oromo,,0
Ethnic origin population,      Rwandan,,20
Ethnic origin population,      Seychellois,,0
Ethnic origin population,      Somali,,130
Ethnic origin population,      South African,,205
Ethnic origin population,      Tanzanian,,10
Ethnic origin population,      Tigrian,,0
Ethnic origin population,      Ugandan,,65
Ethnic origin population,      Zambian,,10
Ethnic origin population,      Zimbabwean,,30
Ethnic origin population,      Zulu,,10
Ethnic origin population,      Southern and East African origins; n.i.e.,,100
Ethnic origin population,    Other African origins,,965
Ethnic origin population,      Black; n.o.s.,,105
Ethnic origin population,      Other African origins; n.i.e.,,870
Ethnic origin population,  Asian origins,,37705
Ethnic origin population,    West Central Asian and Middle Eastern origins,,5450
Ethnic origin population,      Afghan,,835
Ethnic origin population,      Arab; n.o.s.,,660
Ethnic origin population,      Armenian,,135
Ethnic origin population,      Assyrian,,220
Ethnic origin population,      Azerbaijani,,0
Ethnic origin population,      Georgian,,0
Ethnic origin population,      Hazara,,10
Ethnic origin population,      Iranian,,485
Ethnic origin population,      Iraqi,,955
Ethnic origin population,      Israeli,,50
Ethnic origin population,      Jordanian,,135
Ethnic origin population,      Kazakh,,20
Ethnic origin population,      Kurd,,30
Ethnic origin population,      Kuwaiti,,10
Ethnic origin population,      Kyrgyz,,0
Ethnic origin population,      Lebanese,,775
Ethnic origin population,      Palestinian,,600
Ethnic origin population,      Pashtun,,150
Ethnic origin population,      Saudi Arabian,,10
Ethnic origin population,      Syrian,,310
Ethnic origin population,      Tajik,,15
Ethnic origin population,      Tatar,,0
Ethnic origin population,      Turk,,390
Ethnic origin population,      Turkmen,,0
Ethnic origin population,      Uighur,,0
Ethnic origin population,      Uzbek,,0
Ethnic origin population,      Yemeni,,25
Ethnic origin population,      West Central Asian and Middle Eastern origins; n.i.e.,,300
Ethnic origin population,    South Asian origins,,22680
Ethnic origin population,      Bangladeshi,,265
Ethnic origin population,      Bengali,,195
Ethnic origin population,      Bhutanese,,0
Ethnic origin population,      East Indian,,12775
Ethnic origin population,      Goan,,150
Ethnic origin population,      Gujarati,,70
Ethnic origin population,      Kashmiri,,30
Ethnic origin population,      Nepali,,35
Ethnic origin population,      Pakistani,,7880
Ethnic origin population,      Punjabi,,975
Ethnic origin population,      Sinhalese,,75
Ethnic origin population,      Sri Lankan,,900
Ethnic origin population,      Tamil,,310
Ethnic origin population,      South Asian origins; n.i.e.,,1510
Ethnic origin population,    East and Southeast Asian origins,,9920
Ethnic origin population,      Burmese,,20
Ethnic origin population,      Cambodian (Khmer),,40
Ethnic origin population,      Chinese,,3765
Ethnic origin population,      Filipino,,4525
Ethnic origin population,      Hmong,,0
Ethnic origin population,      Indonesian,,95
Ethnic origin population,      Japanese,,515
Ethnic origin population,      Karen,,0
Ethnic origin population,      Korean,,645
Ethnic origin population,      Laotian,,55
Ethnic origin population,      Malaysian,,75
Ethnic origin population,      Mongolian,,15
Ethnic origin population,      Singaporean,,10
Ethnic origin population,      Taiwanese,,25
Ethnic origin population,      Thai,,30
Ethnic origin population,      Tibetan,,40
Ethnic origin population,      Vietnamese,,785
Ethnic origin population,      East and Southeast Asian origins; n.i.e.,,110
Ethnic origin population,    Other Asian origins,,540
Ethnic origin population,      Other Asian origins; n.i.e.,,540
Ethnic origin population,  Oceania origins,,160
Ethnic origin population,    Australian,,120
Ethnic origin population,    New Zealander,,20
Ethnic origin population,    Pacific Islands origins,,25
Ethnic origin population,      Fijian,,0
Ethnic origin population,      Hawaiian,,20
Ethnic origin population,      Maori,,0
Ethnic origin population,      Polynesian; n.o.s.,,10
Ethnic origin population,      Samoan,,0
Ethnic origin population,      Pacific Islands origins; n.i.e.,,0
Household characteristics,Total - Private households by tenure - 25% sample data,,34260
Household characteristics,  Owner,,29415
Household characteristics,  Renter,,4840
Household characteristics,  Band housing,,0
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,,34260
Household characteristics,  Condominium,,3190
Household characteristics,  Not condominium,,31070
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,,34255
Household characteristics,  No bedrooms,,10
Household characteristics,  1 bedroom,,1285
Household characteristics,  2 bedrooms,,3460
Household characteristics,  3 bedrooms,,15035
Household characteristics,  4 or more bedrooms,,14465
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,,34255
Household characteristics,  1 to 4 rooms,,4285
Household characteristics,  5 rooms,,4685
Household characteristics,  6 rooms,,6145
Household characteristics,  7 rooms,,6490
Household characteristics,  8 or more rooms,,12650
Household characteristics,Average number of rooms per dwelling,,7
Household characteristics,Total - Private households by number of persons per room - 25% sample data,,34255
Household characteristics,  One person or fewer per room,,33385
Household characteristics,  More than 1 person per room,,875
Household characteristics,Total - Private households by housing suitability - 25% sample data,,34260
Household characteristics,  Suitable,,32725
Household characteristics,  Not suitable,,1530
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,,34260
Household characteristics,  1960 or before,,2130
Household characteristics,  1961 to 1980,,5490
Household characteristics,  1981 to 1990,,1885
Household characteristics,  1991 to 2000,,970
Household characteristics,  2001 to 2005,,6810
Household characteristics,  2006 to 2010,,9400
Household characteristics,  2011 to 2016,,7570
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,,34255
Household characteristics,  Only regular maintenance or minor repairs needed,,33355
Household characteristics,  Major repairs needed,,905
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,,34255
Household characteristics,  1 household maintainer,,15715
Household characteristics,  2 household maintainers,,17710
Household characteristics,  3 or more household maintainers,,830
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,,34255
Household characteristics,  15 to 24 years,,165
Household characteristics,  25 to 34 years,,5075
Household characteristics,  35 to 44 years,,10695
Household characteristics,  45 to 54 years,,8395
Household characteristics,  55 to 64 years,,5010
Household characteristics,  65 to 74 years,,3225
Household characteristics,  75 to 84 years,,1210
Household characteristics,  85 years and over,,480
Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,,34055
Household characteristics,  Spending less than 30% of income on shelter costs,,25555
Household characteristics,  Spending 30% or more of income on shelter costs,,8505
Household characteristics,    30% to less than 100%,,7610
Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,,29265
Household characteristics,  % of owner households with a mortgage,,80.6
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,,22
Household characteristics,  Median monthly shelter costs for owned dwellings ($),,1917
Household characteristics,  Average monthly shelter costs for owned dwellings ($),,1875
Household characteristics,  Median value of dwellings ($),,598650
Household characteristics,  Average value of dwellings ($),,622911
Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,,4835
Household characteristics,  % of tenant households in subsidized housing,,7.5
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,,42.8
Household characteristics,  Median monthly shelter costs for rented dwellings ($),,1615
Household characteristics,  Average monthly shelter costs for rented dwellings ($),,1522
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,,80555
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,9640
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,,19650
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,51270
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,3745
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,,1815
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,,1930
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,17290
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,2045
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,28185
 Highest certificate; diploma or degree,      Bachelor's degree,,19475
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,1800
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,690
 Highest certificate; diploma or degree,      Master's degree,,5725
 Highest certificate; diploma or degree,      Earned doctorate,,495
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,,59590
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,3270
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,,12240
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,44080
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,2685
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,,1325
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,,1360
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,14775
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,1720
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,24900
 Highest certificate; diploma or degree,      Bachelor's degree,,17090
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,1560
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,600
 Highest certificate; diploma or degree,      Master's degree,,5255
 Highest certificate; diploma or degree,      Earned doctorate,,390
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,,80560
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,,29290
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,2805
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,2805
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,1630
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,295
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,1335
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,3150
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,250
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,850
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,1230
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,,25
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,130
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,120
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,410
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,140
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,6855
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,35
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,670
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,1230
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,990
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,,80
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,1070
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,2780
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,12980
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,15
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,660
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,12310
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,2665
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,1205
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,685
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,,25
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,630
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,110
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,3260
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,2685
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,95
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,430
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,,40
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,9315
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,460
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,3760
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,1715
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,1135
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,1535
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,715
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,595
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,390
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,210
